/v1/alive [GET, 200, testclient, 2022-03-14 22:10:08.117337, 0.001s, 17B]
/diseases/search [GET, 422, testclient, 2022-03-14 22:10:08.137285, 0.001s, 92B]
/diseases/search?search='123' [GET, 422, testclient, 2022-03-14 22:10:08.333808, 0.001s, 92B]
/diseases/search?search='fabio' [GET, 422, testclient, 2022-03-14 22:10:08.345200, 0.0s, 92B]
/diseases/search/outbreaks?outbreaks='AU' [GET, 422, testclient, 2022-03-14 22:10:08.360156, 0.001s, 93B]
/diseases/search/outbreaks?outbreaks='123' [GET, 422, testclient, 2022-03-14 22:10:08.372124, 0.0s, 93B]
/diseases/search/outbreaks?outbreaks='fabio' [GET, 422, testclient, 2022-03-14 22:10:08.386121, 0.0s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:12:20.608453, 0.002s, 17B]
/diseases/search [GET, 422, testclient, 2022-03-14 22:12:20.623416, 0.001s, 92B]
/diseases/search?search='123' [GET, 422, testclient, 2022-03-14 22:12:20.831694, 0.0s, 92B]
/diseases/search?search='fabio' [GET, 422, testclient, 2022-03-14 22:12:20.842694, 0.001s, 92B]
/diseases/search/outbreaks?outbreaks='AU' [GET, 422, testclient, 2022-03-14 22:12:20.854635, 0.0s, 93B]
/diseases/search/outbreaks?outbreaks='123' [GET, 422, testclient, 2022-03-14 22:12:20.866602, 0.001s, 93B]
/diseases/search/outbreaks?outbreaks='fabio' [GET, 422, testclient, 2022-03-14 22:12:20.875578, 0.0s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:13:35.574554, 0.001s, 17B]
/diseases/search [GET, 422, testclient, 2022-03-14 22:13:35.583539, 0.0s, 92B]
/diseases/search?search='123' [GET, 422, testclient, 2022-03-14 22:13:35.778023, 0.0s, 92B]
/diseases/search?search='fabio' [GET, 422, testclient, 2022-03-14 22:13:35.789026, 0.0s, 92B]
/diseases/search/outbreaks?outbreaks='AU' [GET, 422, testclient, 2022-03-14 22:13:35.802970, 0.0s, 93B]
/diseases/search/outbreaks?outbreaks='123' [GET, 422, testclient, 2022-03-14 22:13:35.813928, 0.001s, 93B]
/diseases/search/outbreaks?outbreaks='fabio' [GET, 422, testclient, 2022-03-14 22:13:35.824897, 0.0s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:15:26.676966, 0.001s, 17B]
/diseases/search [GET, 422, testclient, 2022-03-14 22:15:26.684966, 0.0s, 92B]
/diseases/search?search='123' [GET, 422, testclient, 2022-03-14 22:15:26.873540, 0.0s, 92B]
/diseases/search?search='fabio' [GET, 422, testclient, 2022-03-14 22:15:26.886530, 0.001s, 92B]
/diseases/search/outbreaks?outbreaks='AU' [GET, 422, testclient, 2022-03-14 22:15:26.901465, 0.0s, 93B]
/diseases/search/outbreaks?outbreaks='123' [GET, 422, testclient, 2022-03-14 22:15:26.917424, 0.001s, 93B]
/diseases/search/outbreaks?outbreaks='fabio' [GET, 422, testclient, 2022-03-14 22:15:26.928393, 0.0s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:16:25.521174, 0.001s, 17B]
/diseases/search?search='123' [GET, 422, testclient, 2022-03-14 22:16:25.951077, 0.001s, 92B]
/diseases/search?search='fabio' [GET, 422, testclient, 2022-03-14 22:16:25.965034, 0.001s, 92B]
/diseases/search/outbreaks?outbreaks='AU' [GET, 422, testclient, 2022-03-14 22:16:25.977002, 0.001s, 93B]
/diseases/search/outbreaks?outbreaks='123' [GET, 422, testclient, 2022-03-14 22:16:25.986975, 0.0s, 93B]
/diseases/search/outbreaks?outbreaks='fabio' [GET, 422, testclient, 2022-03-14 22:16:25.995951, 0.0s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:18:56.559590, 0.002s, 17B]
/diseases/search/outbreaks?outbreaks='AU' [GET, 422, testclient, 2022-03-14 22:18:57.302617, 0.0s, 93B]
/diseases/search/outbreaks?outbreaks='123' [GET, 422, testclient, 2022-03-14 22:18:57.315594, 0.001s, 93B]
/diseases/search/outbreaks?outbreaks='fabio' [GET, 422, testclient, 2022-03-14 22:18:57.325540, 0.001s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:19:26.682593, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:26:15.436076, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:28:08.294687, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:28:22.418254, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:28:41.637975, 0.002s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:28:55.688972, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:29:03.712383, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:29:24.088765, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:29:53.555171, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:31:17.442021, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:32:01.131569, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:32:31.904417, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:33:05.613553, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 400, testclient, 2022-03-14 22:33:05.626518, 0.001s, 86B]
/diseases/search?disease='123' [GET, 400, testclient, 2022-03-14 22:33:05.807046, 0.001s, 86B]
/diseases/search?disease='fabio' [GET, 400, testclient, 2022-03-14 22:33:05.837362, 0.001s, 86B]
/diseases/search/outbreaks?location='AU' [GET, 400, testclient, 2022-03-14 22:33:05.851802, 0.0015s, 93B]
/diseases/search/outbreaks?location='123' [GET, 400, testclient, 2022-03-14 22:33:05.861777, 0.001s, 93B]
/diseases/search/outbreaks?location='fabio' [GET, 400, testclient, 2022-03-14 22:33:05.874743, 0.001s, 93B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:47:12.092882, 0.001s, 17B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:48:46.758156, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 400, testclient, 2022-03-14 22:48:46.768902, 0.001s, 86B]
/diseases/search?disease='123' [GET, 400, testclient, 2022-03-14 22:48:46.951414, 0.001s, 86B]
/diseases/search?disease='fabio' [GET, 400, testclient, 2022-03-14 22:48:46.969398, 0.001s, 86B]
/diseases/search/outbreaks?location='AU' [GET, 400, testclient, 2022-03-14 22:48:46.980337, 0.001s, 93B]
/diseases/search/outbreaks?location='123' [GET, 400, testclient, 2022-03-14 22:48:46.992339, 0.001s, 93B]
